;Papel;Segmento;Cotação;FFO Yield;Dividend Yield;Dividendos;P/VP;Bola de neve;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média;Endereço
0;AAZQ11;Títulos e Val. Mob.;7,28;0,2068;0,014808;0,11;0,77;67;R$ 174 M;1277340.0;0;0,0;0,0;0,0;0,0;
7;AGRX11;Híbrido;9,76;0,1377;0,0128;0,12;0,97;82;R$ 174 M;292468.0;0;0,0;0,0;0,0;0,0;
12;ALZM11;Títulos e Val. Mob.;8,02;0,0722;0,010083;0,08;0,96;101;R$ 121 M;196437.0;0;0,0;0,0;0,0;0,0;
15;APTO11;Híbrido;9,54;0,1082;0,009125;0,09;0,94;107;R$ 44 M;24069.0;4;17627,9;1193,43;0,0677;0,0;"Rua Jerônimo da Veiga nº 248, no 28º Subdistrito Jardim Paulista, São Paulo - SP,Alameda Fernão Cardim, 70  Jardim Paulista  Estado
de São Paulo,Rua Leopoldo Couto de Magalhães Júnior nº1098 e Rua Lopes Neto nº390, 28º Subdistrito - Jardim Paulista, São Paulo - SP,Alameda Fernão Cardim, 70 e 72  Jardim Paulista  Estado
de São Paulo"
19;ARRI11;Títulos e Val. Mob.;9,05;0,079;0,010283;0,09;1,03;101;R$ 138 M;447885.0;0;0,0;0,0;0,0;0,0;
33;BCFF11;Títulos e Val. Mob.;8,4;0,0964;0,008008;0,07;0,88;121;R$ 1 B;2646980.0;0;0,0;0,0;0,0;0,0;Avenida Das Nacoes Unidas, 14261, Sem Complemento, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000
38;BIME11;Híbrido;7,19;0,1272;0,011175;0,08;0,83;90;R$ 42 M;74689.0;3;302,06;0,0;0,0;0,0;Matrícula- 237.131 14º RI,2% - BRIO MULTI,14% - BRIO MULTI
60;BTCI11;Títulos e Val. Mob.;9,93;0,1128;0,009058;0,09;0,97;111;R$ 988 M;2267330.0;0;0,0;0,0;0,0;0,0;
74;CCME11;Outros;11,84;0,055;0,007183;0,09;1,11;132;R$ 802 M;38591.0;2;7638,65;401,89;0,0526;0,061500000000000006;Avenida Vieira De Carvalho, 99, Sem Complemento, Republica, Sao Paulo/SP, Brasil, 01210-010,Rua Casa Do Ator, 99, Sem Complemento, Vila Olimpia, Sao Paulo/SP, Brasil, 04546-000
86;CPSH11;Shoppings;10,92;0,038;0,00865;0,09;0,95;122;R$ 697 M;1373460.0;5;919,22;46,77;0,0509;0,06860000000000001;Rua Goncalves Crespo, 78, Sem Complemento, Tatuape, Sao Paulo/SP, Brasil, 03066-030,Rua Goncalves Crespo, 78, Sem Complemento, Tatuape, Sao Paulo/SP, Brasil, 03066-030,Rodovia Castelo Branco, 0, Sem Complemento, Dona Catarina, Sao Roque/SP, Brasil, 18132-900,Avenida Praia De Belas, 1181, Sem Complemento, Praia De Belas, Porto Alegre/RS, Brasil, 90110-001,Avenida Washington Soares, 85, Sem Complemento, Edson Queiroz, Fortaleza/CE, Brasil, 60811-900
87;CPTR11;Títulos e Val. Mob.;8,24;0,1557;0,012108;0,1;0,84;83;R$ 340 M;1344260.0;0;0,0;0,0;0,0;0,0;
88;CPTS11;Títulos e Val. Mob.;8,32;0,0655;0,009125;0,08;0,93;105;R$ 2 B;8959370.0;0;0,0;0,0;0,0;0,0;
100;DCRA11;Títulos e Val. Mob.;8,32;0,1703;0,012275;0,1;0,87;84;R$ 56 M;120446.0;0;0,0;0,0;0,0;0,0;
107;DVFF11;Híbrido;7,53;0,0274;0,009242;0,07;0,83;108;R$ 82 M;42437.0;0;0,0;0,0;0,0;0,0;
113;EQIR11;Títulos e Val. Mob.;9,06;0,0707;0,010308;0,09;0,92;101;R$ 98 M;271275.0;0;0,0;0,0;0,0;0,0;
